Temp,Weekday,Month,Hour,Year,kWh/h
-6.7,6,1,1,2010,15280
-7.7,6,1,2,2010,15008
-7.7,6,1,3,2010,14896
-7.9,6,1,4,2010,14712
-8.2,6,1,5,2010,14576
-8.2,6,1,6,2010,14720
-8.2,6,1,7,2010,14928
-7.8,6,1,8,2010,15040
-8,6,1,9,2010,15344
-8,6,1,10,2010,15568
-8,6,1,11,2010,15912
-8.2,6,1,12,2010,16272
-8.2,6,1,13,2010,16416
-7.9,6,1,14,2010,16344
-8.3,6,1,15,2010,16344
-8.5,6,1,16,2010,16432
-8.7,6,1,17,2010,16904
-8.9,6,1,18,2010,17080
-8.7,6,1,19,2010,17112
-8.7,6,1,20,2010,16784
-8.6,6,1,21,2010,16536
-8.4,6,1,22,2010,16344
-8.2,6,1,23,2010,16096
-8.4,7,1,0,2010,15848
-8.9,7,1,1,2010,15464
-9,7,1,2,2010,15128
-9.2,7,1,3,2010,15072
-9.1,7,1,4,2010,15192
-9.7,7,1,5,2010,15280
-8.9,7,1,6,2010,15424
-8.9,7,1,7,2010,15464
-9.5,7,1,8,2010,15784
-10.4,7,1,9,2010,16232
-10.5,7,1,10,2010,16752
-10.2,7,1,11,2010,16976
-9.5,7,1,12,2010,16968
-8.8,7,1,13,2010,16632
-8.9,7,1,14,2010,16328
-9.5,7,1,15,2010,16048
-10.1,7,1,16,2010,16528
-10.5,7,1,17,2010,17256
-10.7,7,1,18,2010,17312
-10.6,7,1,19,2010,17344
-11.3,7,1,20,2010,17312
-11.4,7,1,21,2010,16944
-11.6,7,1,22,2010,16824
-10.7,7,1,23,2010,16528
-12,1,1,0,2010,16176
-12.8,1,1,1,2010,16032
-11.1,1,1,2,2010,15848
-11.2,1,1,3,2010,15656
-10.6,1,1,4,2010,15472
-11.5,1,1,5,2010,15528
-11.2,1,1,6,2010,15560
-9.8,1,1,7,2010,15640
-9.5,1,1,8,2010,15880
-8.7,1,1,9,2010,16032
-8.3,1,1,10,2010,16408
-7.6,1,1,11,2010,16648
-7.2,1,1,12,2010,16576
