year,season,month,week_number,week_day,hour,working_day,holiday,weather_situation,temp,apparent_temp,humidity,windspeed,registered_user_rides,casual_user_rides,total_rides
0,1,1,52,6,0,0,0,1,3.28,3.0014,81.0,0.0,13,3,16
0,1,1,52,6,1,0,0,1,2.34,1.9982,80.0,0.0,32,8,40
0,1,1,52,6,2,0,0,1,2.34,1.9982,80.0,0.0,27,5,32
0,1,1,52,6,3,0,0,1,3.28,3.0014,75.0,0.0,10,3,13
0,1,1,52,6,4,0,0,1,3.28,3.0014,75.0,0.0,1,0,1
0,1,1,52,6,5,0,0,2,3.28,1.0016,75.0,6.0032,1,0,1
0,1,1,52,6,6,0,0,1,2.34,1.9982,80.0,0.0,0,2,2
0,1,1,52,6,7,0,0,1,1.4,1.0016,86.0,0.0,2,1,3
0,1,1,52,6,8,0,0,1,3.28,3.0014,75.0,0.0,7,1,8
0,1,1,52,6,9,0,0,1,7.04,7.001,76.0,0.0,6,8,14
0,1,1,52,6,10,0,0,1,9.86,9.9974,76.0,16.9979,24,12,36
0,1,1,52,6,11,0,0,1,8.92,5.9978,81.0,19.0012,30,26,56
0,1,1,52,6,12,0,0,1,11.74,11.9972,77.0,19.0012,55,29,84
0,1,1,52,6,13,0,0,2,13.62,13.997,72.0,19.9995,47,47,94
0,1,1,52,6,14,0,0,2,13.62,13.997,72.0,19.0012,71,35,106
0,1,1,52,6,15,0,0,2,12.68,13.0004,77.0,19.9995,70,40,110
0,1,1,52,6,16,0,0,2,11.74,11.9972,82.0,19.9995,52,41,93
0,1,1,52,6,17,0,0,2,12.68,13.0004,82.0,19.0012,52,15,67
0,1,1,52,6,18,0,0,3,11.74,11.9972,88.0,16.9979,26,9,35
0,1,1,52,6,19,0,0,3,11.74,11.9972,88.0,16.9979,31,6,37
0,1,1,52,6,20,0,0,2,10.8,11.0006,87.0,16.9979,25,11,36
0,1,1,52,6,21,0,0,2,10.8,11.0006,87.0,12.998,31,3,34
0,1,1,52,6,22,0,0,2,10.8,11.0006,94.0,15.0013,17,11,28
0,1,1,52,6,23,0,0,2,13.62,13.997,88.0,19.9995,24,15,39
0,1,1,52,0,0,0,0,2,13.62,13.997,88.0,19.9995,13,4,17
0,1,1,52,0,1,0,0,2,12.68,13.0004,94.0,16.9979,16,1,17
0,1,1,52,0,2,0,0,2,11.74,11.9972,100.0,19.0012,8,1,9
0,1,1,52,0,3,0,0,2,13.62,13.997,94.0,12.998,4,2,6
0,1,1,52,0,4,0,0,2,13.62,13.997,94.0,12.998,1,2,3
0,1,1,52,0,6,0,0,3,11.74,11.9972,77.0,19.9995,2,0,2
0,1,1,52,0,7,0,0,2,10.8,11.0006,76.0,12.998,1,0,1
0,1,1,52,0,8,0,0,3,10.8,11.0006,71.0,15.0013,8,0,8
0,1,1,52,0,9,0,0,2,9.86,9.9974,76.0,15.0013,19,1,20
0,1,1,52,0,10,0,0,2,8.92,7.001,81.0,15.0013,46,7,53
0,1,1,52,0,11,0,0,2,8.92,5.9978,71.0,16.9979,54,16,70
0,1,1,52,0,12,0,0,2,8.92,5.9978,66.0,19.9995,73,20,93
0,1,1,52,0,13,0,0,2,8.92,7.001,66.0,8.9981,64,11,75
0,1,1,52,0,14,0,0,3,8.92,7.001,76.0,12.998,55,4,59
0,1,1,52,0,15,0,0,3,7.98,5.9978,81.0,11.0014,55,19,74
0,1,1,52,0,16,0,0,3,7.98,5.9978,71.0,11.0014,67,9,76
0,1,1,52,0,17,0,0,1,7.98,5.9978,57.0,12.998,58,7,65
0,1,1,52,0,18,0,0,2,8.92,5.9978,46.0,22.0028,43,10,53
0,1,1,52,0,19,0,0,1,7.04,3.0014,42.0,30.0026,29,1,30
0,1,1,52,0,20,0,0,1,6.1,1.9982,39.0,23.9994,17,5,22
0,1,1,52,0,21,0,0,1,4.22,-0.9982,44.0,22.0028,20,11,31
0,1,1,52,0,22,0,0,1,3.28,-2.0014,44.0,19.9995,9,0,9
0,1,1,52,0,23,0,0,1,2.34,-0.9982,47.0,11.0014,8,0,8
0,1,1,1,1,0,1,0,1,2.34,-2.998,44.0,23.9994,5,0,5
0,1,1,1,1,1,1,0,1,1.4,-4.9978,44.0,27.9993,2,0,2
0,1,1,1,1,4,1,0,1,-0.48,-6.9976,47.0,26.0027,1,0,1
0,1,1,1,1,5,1,0,1,-0.48,-6.9976,47.0,19.0012,3,0,3
0,1,1,1,1,6,1,0,1,-1.42,-8.9974,50.0,26.0027,30,0,30
0,1,1,1,1,7,1,0,1,-1.42,-6.9976,50.0,12.998,63,1,64
